Ano,Homens,Mulheres
1984,1307758,1251280
1985,1339059,1280545
1986,1418050,1361203
1987,1358475,1302411
1988,1432295,1377362
1989,1317159,1263876
1990,1234374,1185553
1991,1192836,1140366
1992,1233417,1184053
1993,1236652,1181862
1994,1261475,1210850
1995,1204795,1152542
1996,1232737,1179878
1997,1196138,1148936
1998,1254111,1207375
1999,1361418,1298382
2000,1338070,1275694
2001,1285384,1225556
2002,1324770,1259773
2003,1445825,1376039
2004,1443997,1374572
2005,1475807,1404830
2006,1439402,1364357
2007,1417887,1337289
2008,1435103,1362652
2009,1415650,1348674
2010,1414313,1346288
2011,1446926,1377588
